,id,created_time,text,source,favorite_count,retweet_count,username
33,791737295254675457,2016-10-27 20:24:15,"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO",Twitter Web Client,6922,1710,BarackObama
34,791714897348268032,2016-10-27 18:55:15,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID,Twitter Web Client,5836,1553,BarackObama
35,791687049417928704,2016-10-27 17:04:36,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate,Twitter Web Client,3956,1388,BarackObama
36,791662543584362496,2016-10-27 15:27:13,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C,Twitter Web Client,3948,874,BarackObama
37,791361893986291712,2016-10-26 19:32:32,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI",Twitter Web Client,6166,1988,BarackObama
38,791331973314727936,2016-10-26 17:33:39,"No one's too wrapped up in pre-existing conditions to #GetCovered. 
Thanks to Obamacare, you can find a plan that m… https://t.co/C7H9TZdxeU",Twitter Web Client,6499,1345,BarackObama
39,791315070588379136,2016-10-26 16:26:29,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH,Twitter Web Client,3013,671,BarackObama
40,791293617163804673,2016-10-26 15:01:14,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb,Twitter Web Client,3217,887,BarackObama
41,791005180145786880,2016-10-25 19:55:05,"Women, the sick, survivors—they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV",Twitter Web Client,8795,2079,BarackObama
42,790976567249731584,2016-10-25 18:01:23,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A,Twitter Web Client,2431,646,BarackObama
43,790952188948340736,2016-10-25 16:24:31,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi…",Twitter Web Client,0,350,BarackObama
44,790937285789306880,2016-10-25 15:25:18,Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E,Twitter Web Client,4260,836,BarackObama
45,790667378023501825,2016-10-24 21:32:47,Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl,Twitter Web Client,6089,1600,BarackObama
46,790646938437685248,2016-10-24 20:11:34,The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market. https://t.co/Lv7DnRM2DY,Twitter Web Client,4050,1285,BarackObama
47,790626992433397760,2016-10-24 18:52:18,"Since 2010, America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: https://t.co/MhIICuE17A",Twitter Web Client,2831,654,BarackObama
48,790600480875352064,2016-10-24 17:06:57,"RT @OFA: It's working.
It's saving lives.
And we're not going back.
Retweet to show your support. https://t.co/YOBeMMSYP8",Twitter Web Client,0,1387,BarackObama
49,790573868335308801,2016-10-24 15:21:13,"Health care is a right, not a privilege—and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW",Twitter Web Client,10293,2385,BarackObama
50,789568706837901315,2016-10-21 20:47:03,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq,Twitter Web Client,2741,756,BarackObama
51,789506728316502016,2016-10-21 16:40:47,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the… https://t.co/1lSzxCHZVf,Twitter Web Client,11490,2416,BarackObama
52,789480358345453568,2016-10-21 14:55:59,"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm",Twitter Web Client,7014,1554,BarackObama
53,789205082210390018,2016-10-20 20:42:08,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF,Twitter Web Client,4084,897,BarackObama
54,789176114597859330,2016-10-20 18:47:02,"There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw",Twitter Web Client,6369,1362,BarackObama
55,789162509823455232,2016-10-20 17:52:58,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O,Twitter Web Client,2273,504,BarackObama
56,789156519740788737,2016-10-20 17:29:10,"RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: https://t.co…",Twitter Web Client,0,671,BarackObama
